N,100,500,1000,2000,5000
10000,0.098147,0.608247,0.946184,1.54248,3.166065
50000,0.108313,0.464575,0.929212,2.030526,5.275847
100000,0.079201,0.525616,0.731346,1.489685,4.119083
500000,0.128262,0.557431,1.069692,2.30113,6.063753
1000000,0.152025,0.712639,1.51931,2.786248,7.216308
